,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Unnamed: 0,1049.9411764705883,988.2413793103449,996.304347826087,1065.9310344827586,999.1081081081081,304.1111111111111,989.0172413793103,926.9848484848485,877.2954545454545,1209.7777777777778,1074.25,1158.040404040404,1134.45,874.0434782608696,1165.17,1146.25,1061.625,1358.41,1059.3,1184.44,1295.03,497.5238095238095,531.8095238095239,1016.74,1516.4444444444443,1119.5,531.8028169014085,1116.14,784.0512820512821,979.5909090909091,1643.86,1298.6565656565656,920.5555555555555,884.171875,1058.967741935484,981.5714285714286,964.5959595959596,1196.2533333333333
Unnamed: 0.1,1049.9411764705883,988.2413793103449,996.304347826087,1065.9310344827586,999.1081081081081,304.1111111111111,989.0172413793103,926.9848484848485,877.2954545454545,1209.7777777777778,1074.25,1158.040404040404,1134.45,874.0434782608696,1165.17,1146.25,1061.625,1358.41,1059.3,1184.44,1295.03,497.5238095238095,531.8095238095239,1016.74,1516.4444444444443,1119.5,531.8028169014085,1116.14,784.0512820512821,979.5909090909091,1643.86,1298.6565656565656,920.5555555555555,884.171875,1058.967741935484,981.5714285714286,964.5959595959596,1196.2533333333333
popularity,61.64705882352941,80.06896551724138,65.52173913043478,67.55172413793103,63.83783783783784,43.55555555555556,25.82758620689655,54.10606060606061,46.18181818181818,58.21212121212121,58.142857142857146,66.8989898989899,48.37,61.17391304347826,51.5,59.61904761904762,61.9125,63.37,47.92,60.65,51.23,46.523809523809526,38.30952380952381,55.92,62.44444444444444,58.0,51.901408450704224,50.52,58.41025641025641,59.81818181818182,49.01,50.707070707070706,62.4,66.328125,64.38709677419355,61.57142857142857,64.94949494949495,60.82666666666667
explicit,0.17647058823529413,0.9655172413793104,0.8260869565217391,0.6551724137931034,0.35135135135135137,0.0,0.9482758620689655,0.5757575757575758,0.6136363636363636,0.26262626262626265,0.75,0.2222222222222222,0.8,0.6956521739130435,0.93,0.5357142857142857,0.5,0.47,0.75,0.53,0.0,0.0,0.0,0.23,0.0,0.0,0.7887323943661971,0.89,0.6666666666666666,0.6363636363636364,0.05,0.030303030303030304,0.4,0.484375,0.7419354838709677,1.0,0.41414141414141414,0.5066666666666667
danceability,0.5766470588235294,0.7796206896551725,0.7319130434782608,0.6546896551724137,0.6377567567567568,0.6467777777777778,0.714913793103448,0.6668484848484849,0.6864999999999999,0.5929292929292929,0.6765714285714287,0.675080808080808,0.6447700000000001,0.7087391304347826,0.72723,0.6307261904761905,0.5892250000000001,0.5851599999999999,0.6953,0.6508900000000001,0.6226400000000001,0.5370476190476191,0.3275,0.69392,0.5175555555555555,0.687,0.7771408450704225,0.6729600000000001,0.6171538461538462,0.7069545454545455,0.55773,0.5920707070707071,0.7127333333333333,0.620125,0.6639999999999999,0.8085714285714286,0.6224949494949495,0.6908666666666666
energy,0.4637352941176471,0.6025862068965517,0.6074347826086957,0.5801379310344827,0.5641081081081081,0.7274444444444446,0.6593448275862068,0.5254848484848484,0.6184090909090909,0.658949494949495,0.5658928571428571,0.7448686868686868,0.7178899999999999,0.5863478260869566,0.6637900000000001,0.6112023809523809,0.53304375,0.573565,0.67309,0.64711,0.66169,0.46785714285714286,0.30347380952380953,0.7141299999999998,0.6126666666666667,0.8075,0.6109999999999999,0.63997,0.5563846153846154,0.603409090909091,0.5783249999999999,0.626879797979798,0.6983333333333333,0.49389843749999995,0.667967741935484,0.6828571428571427,0.5524292929292931,0.5832
loudness,-9.330470588235295,-6.824689655172413,-6.640956521739131,-7.233448275862068,-6.731027027027026,-7.058111111111112,-6.843275862068965,-7.513287878787879,-7.191954545454546,-6.272616161616161,-7.495,-5.168060606060606,-6.19957,-6.278608695652173,-6.0092099999999995,-6.890083333333334,-8.0023625,-7.342770000000001,-6.0279300000000005,-6.219910000000001,-7.719000000000002,-11.376285714285713,-14.1655,-5.6391,-7.156777777777778,-3.4875000000000003,-6.656577464788732,-6.9687,-8.318051282051284,-6.087818181818182,-7.271810000000001,-8.360838383838384,-5.526555555555555,-7.960968749999999,-5.873129032258065,-6.213000000000001,-7.319656565656566,-6.62872
mode,0.7352941176470589,0.2413793103448276,0.6086956521739131,0.5172413793103449,0.8378378378378378,0.8888888888888888,0.6551724137931034,0.48484848484848486,0.6818181818181818,0.7575757575757576,0.6785714285714286,0.6161616161616161,0.48,0.4782608695652174,0.54,0.6785714285714286,0.6875,0.67,0.64,0.62,0.76,0.8095238095238095,0.5952380952380952,0.63,0.8888888888888888,0.0,0.5915492957746479,0.5,0.5897435897435898,0.5303030303030303,0.72,0.7474747474747475,0.6222222222222222,0.59375,0.6129032258064516,0.5714285714285714,0.7878787878787878,0.68
speechiness,0.20543235294117648,0.20850000000000002,0.20444782608695658,0.15475172413793103,0.10088648648648652,0.0644,0.1874586206896552,0.12711363636363637,0.2622659090909091,0.09994343434343433,0.15897142857142857,0.09692727272727274,0.186583,0.16800434782608695,0.211487,0.12667976190476193,0.13669000000000003,0.12318799999999998,0.160003,0.13209,0.06403400000000001,0.09412539682539682,0.04333809523809524,0.101096,0.059033333333333333,0.06915,0.20063380281690144,0.20154000000000002,0.14680256410256412,0.09638939393939394,0.06539699999999998,0.08498080808080809,0.14242222222222223,0.106603125,0.16557419354838712,0.1342142857142857,0.08633232323232326,0.1346826666666667
acousticness,0.4283870588235294,0.1145896551724138,0.20326478260869565,0.3306744827586207,0.29356783783783785,0.24050555555555558,0.20907241379310346,0.26418121212121215,0.299707,0.25697182828282833,0.2648714285714286,0.13755887878787879,0.21887429,0.25526086956521743,0.12421337999999998,0.3022110952380952,0.4016425,0.38680890000000007,0.1967098,0.22359674999999998,0.2696481,0.533424126984127,0.6543857142857142,0.14721189999999998,0.2933222222222222,0.0747,0.13252214084507047,0.22406501999999995,0.3739871794871795,0.2487573787878788,0.38318779999999997,0.3121379797979798,0.08633493333333334,0.46403703124999995,0.22552548387096774,0.052564714285714284,0.37887171717171714,0.27985912
instrumentalness,0.0003079276470588235,5.615758620689655e-05,0.0006099026086956522,0.0004951668965517241,0.00041430162162162164,0.0004478666666666666,0.00014516879310344828,0.0006523254545454545,0.0004998984090909091,0.0030237251515151517,0.00024256142857142856,0.00035462363636363636,0.0010205748,1.7961739130434784e-05,0.0095474546,0.004388692261904761,0.00546138075,0.0028782614999999993,0.0005034986,0.0011446857000000001,0.007046278299999999,0.0007781965079365078,0.6713761047619048,0.0006415786000000001,0.0012304966666666665,0.0,0.001620671267605634,0.0007992535,0.0001614258974358974,0.001392463484848485,0.0045310969999999996,0.004510420808080808,0.001752138888888889,0.00239351625,9.90858064516129e-05,7.499999999999999e-07,0.0007917055555555555,0.0021166649333333332
liveness,0.23559705882352944,0.1839379310344827,0.19783913043478257,0.17082068965517241,0.1852945945945946,0.1914111111111111,0.2074,0.13742727272727276,0.2613136363636364,0.1720454545454546,0.23398214285714286,0.18512424242424239,0.24059800000000003,0.17409565217391304,0.218918,0.17827380952380953,0.15511750000000002,0.16094999999999998,0.183798,0.16647800000000001,0.19233600000000003,0.20874126984126984,0.16378809523809523,0.17441900000000005,0.1865111111111111,0.1885,0.18751830985915494,0.19752600000000003,0.1393641025641026,0.14077121212121213,0.19506399999999996,0.20813434343434348,0.15988444444444444,0.12419843749999998,0.16974516129032258,0.24042857142857146,0.16472525252525252,0.17651866666666668
valence,0.40794705882352944,0.4427068965517242,0.4834347826086957,0.4672586206896552,0.49659459459459476,0.6537777777777777,0.5102724137931035,0.40898787878787873,0.6243068181818182,0.41956161616161625,0.5083142857142857,0.6153737373737375,0.452846,0.48634782608695654,0.48290800000000006,0.4472119047619048,0.3311425,0.389397,0.5300690000000001,0.469322,0.62965,0.5340047619047619,0.21301190476190482,0.627724,0.5024444444444445,0.4245000000000001,0.4693267605633803,0.438818,0.32368717948717945,0.4417272727272728,0.45739799999999997,0.6111141414141414,0.6452444444444444,0.350403125,0.47604516129032254,0.5162857142857142,0.45759090909090916,0.453424
